message,label
Reminder: Your appointment is scheduled for 10 AM.,0
Your OTP for login is 328384. Do not share it with anyone.,0
"Payment of INR 16,268.20 received from Amit into A/c XX4029.",1
"Congratulations! Get Rs 29,782.91 OFF on your next recharge. Use code SAVE591.",0
"You have spent Rs.182,633 at BigBasket on 08-Feb. A/c XX9114.",1
"Flash Sale: Get up to Rs 29,229.21 off. Visit oziva.me/iOZIVA/TJOUt to claim the discount.",0
"Your A/c XX4708 has been debited by Rs 16,149.72 towards payment to Amazon.",1
"Hi Karan, your KYC is pending. Please update within 7 days.",0
"Alert: Unusual sign-in attempt detected on your account. If not you, reset password.",0
Your OTP for login is 928727. Do not share it with anyone.,0
"बधाई हो! आप Google Gemini के Rs. 174,338 मूल्य के 18 महीने के मुफ़्त प्रो प्लान के लिए पात्र हैं।",0
"Offer: Refer & earn Rs 71,417 when your friend signs up. Use code WELCOME50.",0
"Payment of INR 159,286 received from Karan into A/c XX1439.",1
Reminder: Your appointment is scheduled for 6 PM.,0
"Exclusive offer! Flat Rs 75,456 cashback on first purchase. T&C apply.",0
"INR 93,073 received in your Paytm Wallet from Swiggy.",1
Your OTP for login is 527063. Do not share it with anyone.,0
"Alert: Unusual sign-in attempt detected on your account. If not you, reset password.",0
"AxisBk: INR 84,732 credited to A/c XX7412 on 26-Aug by NEFT from Ankit. UTR 385180156992. Bal Rs.15,887.74.",1
"INR 48,435.78 received in your Paytm Wallet from Amit.",1
"Congratulations! Get Rs 180,030 OFF on your next recharge. Use code SAVE309.",0
"Offer: Refer & earn Rs 59,363 when your friend signs up. Use code SAVE20.",0
"OTP ALERT: txn of Rs 48,395.90 debited from A/c XX5016 using UPI.",1
"HDFC Bank: UPI: Rs.155,138 transferred to Karan. Ref 6309420888. A/c XX8317. Avl Bal Rs.172,803.",1
"Flash Sale: Get up to Rs 124,386 off. Visit oziva.me/iOZIVA/TJOUt to claim the discount.",0
"INR 119,283 received in your Paytm Wallet from Google Pay.",1
"Offer: Refer & earn Rs 31,360 when your friend signs up. Use code WELCOME50.",0
"बधाई हो! आप Google Gemini के Rs. 6,667 मूल्य के 18 महीने के मुफ़्त प्रो प्लान के लिए पात्र हैं।",0
"Congratulations! Get Rs 98,949 OFF on your next recharge. Use code SAVE138.",0
"Payment of INR 9,682.99 received from Suman into A/c XX6008.",1
"Payment of INR 138,989 received from Suman into A/c XX8503.",1
"Alert: Unusual sign-in attempt detected on your account. If not you, reset password.",0
"Rs 25,351.83 credited to your A/c XX4343 via NEFT. Available balance Rs 3,881.74.",1
"Hi Suman, your KYC is pending. Please update within 7 days.",0
"You have spent Rs.11,223.82 at OLA on 19-Sep. A/c XX1359.",1
"IMPS of Rs 192,993 successful to A/c ending 4700. Ref 4679815234.",1
"IMPS of Rs 98,394 successful to A/c ending 4249. Ref 2043030161.",1
"Rs 36,539 credited to your A/c XX7898 via NEFT. Available balance Rs 7,215.57.",1
"Your A/c XX1199 has been debited by Rs 112,113 towards payment to OLA.",1
Your OTP for login is 271081. Do not share it with anyone.,0
"Payment of INR 14,967.09 received from Paytm into A/c XX3293.",1
"Your A/c XX8170 has been debited by Rs 41,568.94 towards payment to Dominos.",1
"Offer: Refer & earn Rs 145,617 when your friend signs up. Use code WELCOME50.",0
"INR 26,925.23 received in your Paytm Wallet from Neha.",1
"बधाई हो! आप Google Gemini के Rs. 72,469 मूल्य के 18 महीने के मुफ़्त प्रो प्लान के लिए पात्र हैं।",0
"बधाई हो! आप Google Gemini के Rs. 41,532.40 मूल्य के 18 महीने के मुफ़्त प्रो प्लान के लिए पात्र हैं।",0
"Payment of INR 86,367 received from Zomato into A/c XX8423.",1
Your OTP for login is 239967. Do not share it with anyone.,0
"Payment of INR 51,302 received from Karan into A/c XX5910.",1
Your order #5789 has been shipped and will be delivered by 22-May.,0
"बधाई हो! आप Google Gemini के Rs. 15,717.45 मूल्य के 18 महीने के मुफ़्त प्रो प्लान के लिए पात्र हैं।",0
"SBI: Your A/c XX4666 debited by INR 169,714 on 09-Oct for UPI txn.",1
"Flash Sale: Get up to Rs 76,807 off. Visit jio.com/r/ChYTHwGjb to claim the discount.",0
"HDFC Bank: UPI: Rs.87,951 transferred to Neha. Ref 2327660794. A/c XX9873. Avl Bal Rs.14,117.52.",1
"Your A/c XX2821 has been debited by Rs 190,650 towards payment to OLA.",1
Reminder: Your appointment is scheduled for 10 AM.,0
"Payment of INR 107,134 received from Rahul into A/c XX1116.",1
"HDFC Bank: UPI: Rs.54,452 transferred to Ankit. Ref 1998278217. A/c XX5095. Avl Bal Rs.128,411.",1
"Your A/c XX3589 has been debited by Rs 38,060 towards payment to Zomato.",1
"AxisBk: INR 32,429.75 credited to A/c XX5480 on 27-Dec by NEFT from Karan. UTR 699485657232. Bal Rs.48,422.39.",1
"Flash Sale: Get up to Rs 121,480 off. Visit jio.com/r/ChYTHwGjb to claim the discount.",0
"OTP ALERT: txn of Rs 165,330 debited from A/c XX5770 using UPI.",1
"You have spent Rs.7,670 at Flipkart on 25-May. A/c XX7283.",1
"Hi Neha, your KYC is pending. Please update within 7 days.",0
"Alert: Unusual sign-in attempt detected on your account. If not you, reset password.",0
"IMPS of Rs 26,140 successful to A/c ending 8723. Ref 9447712449.",1
"Offer: Refer & earn Rs 4,409.38 when your friend signs up. Use code SAVE20.",0
"Offer: Refer & earn Rs 161,178 when your friend signs up. Use code SAVE20.",0
"Exclusive offer! Flat Rs 174,039 cashback on first purchase. T&C apply.",0
"You have spent Rs.35,325.98 at Swiggy on 20-Mar. A/c XX9230.",1
"Hi Paytm, your KYC is pending. Please update within 7 days.",0
"Your A/c XX7189 has been debited by Rs 102,609 towards payment to Amazon.",1
"Rs 57,212 credited to your A/c XX9530 via NEFT. Available balance Rs 177,532.",1
"Congratulations! Get Rs 79,520 OFF on your next recharge. Use code SAVE679.",0
Reminder: Your appointment is scheduled for 10 AM.,0
"Hi Ankit, your KYC is pending. Please update within 7 days.",0
"Flash Sale: Get up to Rs 34,478.07 off. Visit bit.ly/deal123 to claim the discount.",0
Reminder: Your appointment is scheduled for 3 PM.,0
"Congratulations! Get Rs 188,984 OFF on your next recharge. Use code SAVE535.",0
"You have spent Rs.12,244.18 at OLA on 16-Mar. A/c XX1081.",1
"Payment of INR 38,929.69 received from Rahul into A/c XX7974.",1
"Alert: Unusual sign-in attempt detected on your account. If not you, reset password.",0
"Rs 3,423.63 credited to your A/c XX5500 via NEFT. Available balance Rs 79,392.",1
"INR 146,378 received in your Paytm Wallet from Zomato.",1
"बधाई हो! आप Google Gemini के Rs. 25,122.83 मूल्य के 18 महीने के मुफ़्त प्रो प्लान के लिए पात्र हैं।",0
Your OTP for login is 417672. Do not share it with anyone.,0
"Flash Sale: Get up to Rs 15,882 off. Visit jio.com/r/ChYTHwGjb to claim the discount.",0
"Hi Priya, your KYC is pending. Please update within 7 days.",0
"Payment of INR 34,878.92 received from Amit into A/c XX5309.",1
"Your A/c XX8126 has been debited by Rs 119,690 towards payment to Uber.",1
"Offer: Refer & earn Rs 21,510.98 when your friend signs up. Use code STEAL.",0
"Alert: Unusual sign-in attempt detected on your account. If not you, reset password.",0
Your OTP for login is 933379. Do not share it with anyone.,0
"You have spent Rs.192,172 at Uber on 06-Dec. A/c XX7138.",1
"HDFC Bank: UPI: Rs.25,037.53 transferred to Paytm. Ref 7399212842. A/c XX1352. Avl Bal Rs.186,779.",1
"Payment of INR 13,531 received from Ankit into A/c XX8030.",1
"Payment of INR 96,288 received from Google Pay into A/c XX5173.",1
"Your A/c XX2577 has been debited by Rs 40,692.77 towards payment to BigBasket.",1
"IMPS of Rs 14,743.39 successful to A/c ending 5636. Ref 2313493359.",1
"INR 105,461 received in your Paytm Wallet from Suman.",1
"Hi Ramesh, your KYC is pending. Please update within 7 days.",0
"SBI: Your A/c XX4638 debited by INR 38,215.47 on 25-Oct for UPI txn.",1
Your OTP for login is 297382. Do not share it with anyone.,0
"Rs 108,103 credited to your A/c XX6299 via NEFT. Available balance Rs 112,886.",1
"You have spent Rs.39,625.25 at Amazon on 20-Aug. A/c XX4858.",1
Your order #7725 has been shipped and will be delivered by 07-Jan.,0
"OTP ALERT: txn of Rs 101,241 debited from A/c XX4678 using UPI.",1
"INR 19,952.54 received in your Paytm Wallet from Ramesh.",1
"SBI: Your A/c XX4066 debited by INR 34,163.81 on 09-May for UPI txn.",1
"Your A/c XX7064 has been debited by Rs 192,796 towards payment to Zomato.",1
"Congratulations! Get Rs 72,367 OFF on your next recharge. Use code SAVE394.",0
"AxisBk: INR 40,853.51 credited to A/c XX1003 on 25-Mar by NEFT from Google Pay. UTR 594562118723. Bal Rs.197,925.",1
"Payment of INR 80,113 received from Priya into A/c XX9188.",1
"Your A/c XX7818 has been debited by Rs 79,658 towards payment to Uber.",1
"SBI: Your A/c XX7131 debited by INR 45,807.44 on 16-Jul for UPI txn.",1
"बधाई हो! आप Google Gemini के Rs. 45,005 मूल्य के 18 महीने के मुफ़्त प्रो प्लान के लिए पात्र हैं।",0
"Offer: Refer & earn Rs 187,458 when your friend signs up. Use code STEAL.",0
"Payment of INR 60,225 received from PhonePe into A/c XX9015.",1
"Exclusive offer! Flat Rs 29,288.01 cashback on first purchase. T&C apply.",0
"Alert: Unusual sign-in attempt detected on your account. If not you, reset password.",0
Reminder: Your appointment is scheduled for 3 PM.,0
"Flash Sale: Get up to Rs 169,037 off. Visit example.com/deal to claim the discount.",0
Reminder: Your appointment is scheduled for tomorrow.,0
"AxisBk: INR 7,511.66 credited to A/c XX4464 on 26-Jun by NEFT from Paytm. UTR 957772691914. Bal Rs.27,858.",1
"AxisBk: INR 17,918.53 credited to A/c XX6304 on 01-Mar by NEFT from Karan. UTR 237664005555. Bal Rs.154,374.",1
"Exclusive offer! Flat Rs 80,550 cashback on first purchase. T&C apply.",0
Your OTP for login is 856153. Do not share it with anyone.,0
"Congratulations! Get Rs 150,441 OFF on your next recharge. Use code SAVE212.",0
"INR 94,108 received in your Paytm Wallet from Ankit.",1
"HDFC Bank: UPI: Rs.177,170 transferred to Amit. Ref 6649672597. A/c XX1108. Avl Bal Rs.129,159.",1
Your OTP for login is 878720. Do not share it with anyone.,0
"Offer: Refer & earn Rs 40,814.75 when your friend signs up. Use code SAVE20.",0
"INR 21,718.09 received in your Paytm Wallet from Ankit.",1
"INR 101,845 received in your Paytm Wallet from Swiggy.",1
Your OTP for login is 481039. Do not share it with anyone.,0
"SBI: Your A/c XX3875 debited by INR 9,696.58 on 03-Oct for UPI txn.",1
"Congratulations! Get Rs 17,396 OFF on your next recharge. Use code SAVE587.",0
"Offer: Refer & earn Rs 139,795 when your friend signs up. Use code WELCOME50.",0
"Rs 171,990 credited to your A/c XX3112 via NEFT. Available balance Rs 102,759.",1
"You have spent Rs.157,194 at Amazon on 20-May. A/c XX5940.",1
"OTP ALERT: txn of Rs 158,508 debited from A/c XX5668 using UPI.",1
"Exclusive offer! Flat Rs 12,529 cashback on first purchase. T&C apply.",0
"You have spent Rs.9,480.59 at Flipkart on 17-Jul. A/c XX9087.",1
"SBI: Your A/c XX9584 debited by INR 44,469.33 on 02-Feb for UPI txn.",1
Your order #7133 has been shipped and will be delivered by 13-Aug.,0
"You have spent Rs.47,518.44 at Myntra on 27-Jul. A/c XX2298.",1
"INR 32,976.94 received in your Paytm Wallet from Amit.",1
"Congratulations! Get Rs 20,140.79 OFF on your next recharge. Use code SAVE285.",0
"Congratulations! Get Rs 112,980 OFF on your next recharge. Use code SAVE383.",0
"Rs 79,394 credited to your A/c XX2485 via NEFT. Available balance Rs 165,756.",1
"AxisBk: INR 27,552.49 credited to A/c XX4610 on 15-Jun by NEFT from Rahul. UTR 161531275466. Bal Rs.105,294.",1
"Hi Amit, your KYC is pending. Please update within 7 days.",0
"Alert: Unusual sign-in attempt detected on your account. If not you, reset password.",0
"Flash Sale: Get up to Rs 105,029 off. Visit oziva.me/iOZIVA/TJOUt to claim the discount.",0
"SBI: Your A/c XX3608 debited by INR 78,417 on 01-Sep for UPI txn.",1
"OTP ALERT: txn of Rs 79,310 debited from A/c XX7076 using UPI.",1
"Flash Sale: Get up to Rs 6,251.98 off. Visit jio.com/r/ChYTHwGjb to claim the discount.",0
"बधाई हो! आप Google Gemini के Rs. 2,975.65 मूल्य के 18 महीने के मुफ़्त प्रो प्लान के लिए पात्र हैं।",0
"Alert: Unusual sign-in attempt detected on your account. If not you, reset password.",0
"AxisBk: INR 40,386 credited to A/c XX8742 on 04-Nov by NEFT from Google Pay. UTR 417366672051. Bal Rs.47,801.77.",1
Reminder: Your appointment is scheduled for tomorrow.,0
"Congratulations! Get Rs 41,183.13 OFF on your next recharge. Use code SAVE991.",0
"Your A/c XX5828 has been debited by Rs 1,984.03 towards payment to Uber.",1
"IMPS of Rs 14,568 successful to A/c ending 7248. Ref 9012328127.",1
"Exclusive offer! Flat Rs 46,857.67 cashback on first purchase. T&C apply.",0
